customer_id,name,age,gender,city,income,credit_score
1,Melissa Ibarra,67,Female,West Samueltown,1299769,491
2,Angela Davis,44,Male,Larryland,740452,398
3,Christopher Saunders,42,Male,North Tiffanymouth,1515385,827
4,Karen Mcdonald,56,Female,North Richardside,1281421,412
5,Lydia Anderson,46,Female,Robertstown,1820043,687
6,Daniel Kelley,52,Female,Rachelview,752060,309
7,Natalie Sims,24,Female,West Kristi,534176,556
8,Cynthia Cobb,46,Male,Victoriafurt,1848745,663
9,Patrick Cobb DDS,65,Male,Port Stephanie,326842,549
10,Brandon Pearson,51,Female,Andrewmouth,1246733,714
11,Alexis Mckenzie,20,Male,Grimeshaven,1594014,526
12,Alejandro Smith,45,Male,Charlestown,482765,495
13,Jason Dodson,56,Female,West Michael,1516105,744
14,Stephanie Cardenas,61,Female,South Eileen,1667556,515
15,Adam Murray,61,Male,East Sarahchester,1004637,776
16,John Young,22,Female,Hernandezbury,1657497,596
17,Micheal Terrell,25,Male,South John,526613,665
18,Wayne Trevino,40,Male,West Brittany,1198166,301
19,Cathy Compton,46,Female,Lake Deanchester,1805077,446
20,Lisa Moore,20,Male,Collinsside,1284723,561
21,Eddie Weaver,40,Female,Daystad,1558734,490
22,Bridget Smith,23,Female,Bakerberg,547622,450
23,Brooke Gray,55,Female,Cartermouth,865459,523
24,Scott Smith,21,Male,Karlaland,1526590,738
25,Brianna Rodriguez,52,Female,Lake Matthew,663070,734
26,Zachary Evans,37,Male,Davidshire,1696671,573
27,Michael Miller,32,Male,East Samantha,1758624,516
28,Joe Newman,47,Male,Ballton,369491,592
29,Jesse Gallegos,43,Male,Elizabethberg,1564609,334
30,Derek Grimes,56,Male,West Codytown,481201,786
31,Jesse Holt,54,Male,Murphyshire,315328,387
32,David Cantrell,64,Female,South Sandraland,1047201,673
33,Michael Warren,21,Male,South Tracyberg,368398,436
34,Aaron Hawkins,39,Male,Lake Melissa,566056,488
35,Lori Adams,53,Male,West Manuel,921475,421
36,Charles Herrera,39,Female,Amandatown,998754,470
37,Natalie Jones,36,Female,Hullmouth,1759559,414
38,Emily Hill,26,Male,New Johnland,1758022,536
39,Bruce Chan,42,Female,Carsonhaven,563322,308
40,Kelsey Roberts,27,Male,New Karenberg,1107809,843
41,Hannah Stephens,25,Female,West Angelatown,1980071,819
42,Morgan Cochran,46,Female,Leefort,551105,726
